CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defcon1;Defcon 1;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defcon2;Defcon 2;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defcon3;Defcon 3;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defcon4;Defcon 4;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defcon5;Defcon 5;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exportfocus;Export Oriented Economy Focus;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
importsubstitutionfocus;Import Substitution Industralisation Focus;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear_nation;Nuclear Weapons Nation;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sar_status;Special Administrative Region Status;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonwealth;Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sar_status_desc;Special government type that only lasts for 50 years.;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joincommonwealth_title;Join the Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joincommonwealth_desc;The Commonwealth of Nations, or the Commonwealth (formerly the British Commonwealth), is an intergovernmental organisation of 53 member states that were mostly territories of the former British Empire. The Commonwealth operates by intergovernmental consensus of the member states, organised through the Commonwealth Secretariat, and non-governmental organisations, organised through the Commonwealth Foundation. The Commonwealth dates back to the mid-20th century with the decolonisation of the British Empire through increased self-governance of its territories. It was formally constituted by the London Declaration in 1949," which established the member states as ""free and equal"". The symbol of this free association is Queen Elizabeth II", who is the head of the Commonwealth. The Queen is also the monarch of 16 members of the Commonwealth, known as Commonwealth realms. The other Commonwealth members have different heads of state: 32 members are republics and five are monarchies with a different monarch. Member states have no legal obligation to one another. Instead, they are united by language, history, culture, and their shared values of democracy, human rights, and the rule of law. These values are enshrined in the Commonwealth Charter and promoted by the quadrennial Commonwealth Games.;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formthecommonwealth_title;Form the Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formthecommonwealth_desc;The Commonwealth of Nations, or the Commonwealth (formerly the British Commonwealth), is an intergovernmental organisation of 53 member states that were mostly territories of the former British Empire. The Commonwealth operates by intergovernmental consensus of the member states, organised through the Commonwealth Secretariat, and non-governmental organisations, organised through the Commonwealth Foundation. The Commonwealth dates back to the mid-20th century with the decolonisation of the British Empire through increased self-governance of its territories. It was formally constituted by the London Declaration in 1949," which established the member states as ""free and equal"". The symbol of this free association is Queen Elizabeth II who is the Head of the Commonwealth. The Queen is also the monarch of 16 members of the Commonwealth", known as Commonwealth realms. The other Commonwealth members have different heads of state: 32 members are republics and five are monarchies with a different monarch. Member states have no legal obligation to one another. Instead, they are united by language, history, culture and their shared values of democracy, human rights, and the rule of law. These values are enshrined in the Commonwealth Charter and promoted by the quadrennial Commonwealth Games.;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leavecommonwealth_title;Leave the Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leavecommonwealth_desc;The Commonwealth of Nations, or the Commonwealth (formerly the British Commonwealth), is an intergovernmental organisation of 53 member states that were mostly territories of the former British Empire. The Commonwealth operates by intergovernmental consensus of the member states, organised through the Commonwealth Secretariat, and non-governmental organisations, organised through the Commonwealth Foundation. The Commonwealth dates back to the mid-20th century with the decolonisation of the British Empire through increased self-governance of its territories. It was formally constituted by the London Declaration in 1949," which established the member states as ""free and equal"". The symbol of this free association is Queen Elizabeth II who is the Head of the Commonwealth. The Queen is also the monarch of 16 members of the Commonwealth", known as Commonwealth realms. The other Commonwealth members have different heads of state: 32 members are republics and five are monarchies with a different monarch. Member states have no legal obligation to one another. Instead, they are united by language, history, culture and their shared values of democracy, human rights, and the rule of law. These values are enshrined in the Commonwealth Charter and promoted by the quadrennial Commonwealth Games.;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonwealthmember;Member of the Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonwealthmembereng;Leader of the Commonwealth of Nations;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un_resolution_veto;UN resolution vetoed;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un_resolution_veto;UN resolution vetoed;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decolonialize;Decolonialise;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peace_mission;Peace Mission;;;;;;;;x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internationalism;Promote Internationalism;;;;;;;;x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lusophone_cultures;Latin American Portuguese;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south_asian_indian;Indian Culture Group;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south_asian_pakistani;Pakistani;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
european_east_slavic;East Slavic;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
european_south_slavic;Yugoslavian;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
european_west_slavic;Czechoslovakian;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
european_dutch_cultures;Dutch;;;;;;;;x;;;;;;;;;;;;; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
european_germanic_cultures;Germanic;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pending_nationalize;Pending Nationalisation;;;;;;;;x ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demographic_mennonites;Mennonite Subculture;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demographic_romani;Romanipen;;;;;;;;x;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
united_nations_observer_member;United Nations Observer State;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfhigh_NEWS_TITLE;IMF sets high interest rates;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfhigh_NEWS_SHORT;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite high and might have severe consequences on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfhigh_NEWS_MEDIUM;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite high and might have severe consequences on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfhigh_NEWS_LONG;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite high and might have severe consequences on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfmedium_NEWS_TITLE;IMF sets medium interest rates;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfmedium_NEWS_SHORT;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite average and would probably not have much impact on nations that rely on IMF loans to service their national services. They also point out that we should not expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfmedium_NEWS_MEDIUM;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite average and would probably not have much impact on nations that rely on IMF loans to service their national services. They also point out that we should not expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imfmedium_NEWS_LONG;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite average and would probably not have much impact on nations that rely on IMF loans to service their national services. They also point out that we should not expect indebted nations to engage in some austerity measures;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imflow_NEWS_TITLE;IMF sets low interest rates!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imflow_NEWS_SHORT;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite low and would probably have a positive impact on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to end their austerity measures and instead begin spending more;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imflow_NEWS_MEDIUM;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite low and would probably have a positive impact on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to end their austerity measures and instead begin spending more;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imflow_NEWS_LONG;The IMF Chairman has announced that there will be a change to the Interest rate to better reflect the changing economic environment. Economists say that the interest rate will be quite low and would probably have a positive impact on nations that rely on IMF loans to service their national services. They also point out that we should expect indebted nations to end their austerity measures and instead begin spending more;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtohigh_NEWS_TITLE;WTO sets high tariff levels;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtohigh_NEWS_SHORT;The WTO Chairman has announced that there will be a change to the international WTO tarrifs to better reflect the changing global trade environment. Economists say that the new tarrif levels will be quite high and would probably have a negative impact on nations that rely on exporting goods while having a positive impact on countries that rely on protectionism for their domestic industries to survive. Business leaders have predicted that there will be a global trade slowdown due to the new unfavourable trade barriers;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtohigh_NEWS_MEDIUM;The WTO Chairman has announced that there will be a change to the international WTO tarrifs to better reflect the changing global trade environment. Economists say that the new tarrif levels will be quite high and would probably have a negative impact on nations that rely on exporting goods while having a positive impact on countries that rely on protectionism for their domestic industries to survive. Business leaders have predicted that there will be a global trade slowdown due to the new unfavourable trade barriers;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtohigh_NEWS_LONG;The WTO Chairman has announced that there will be a change to the international WTO tarrifs to better reflect the changing global trade environment. Economists say that the new tarrif levels will be quite high and would probably have a negative impact on nations that rely on exporting goods while having a positive impact on countries that rely on protectionism for their domestic industries to survive. Business leaders have predicted that there will be a global trade slowdown due to the new unfavourable trade barriers;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wtomedium_NEWS_TITLE;WTO sets medium tariff levels;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
